day_of_week,holiday,time_in_hour,status,previous_status,amount_per_day,full,range_knn,range_rf,day_in_year
6,1,9,11,55,34,0,0,1,97
7,1,1,7,43,29,0,0,1,98
1,0,16,98,69,62,1,1,4,99
2,0,6,88,68,0,1,1,4,100
3,0,13,59,10,51,0,0,3,101
4,0,1,29,41,61,0,0,2,102
5,0,8,91,62,51,1,1,4,103
6,1,20,52,57,97,0,0,3,104
7,1,15,7,62,89,0,0,1,105
1,0,11,84,35,40,0,1,4,106
2,0,23,24,71,2,0,0,1,107
3,0,11,48,13,47,0,0,2,108
4,0,23,97,58,48,1,1,4,109
5,0,14,23,99,74,0,0,1,110
6,1,19,19,52,98,0,0,1,111
7,1,10,26,87,54,0,0,2,112
1,0,5,15,27,36,0,0,1,113
2,0,14,11,23,79,0,0,1,114
3,0,22,40,45,41,0,0,2,115
4,0,13,76,60,50,0,1,4,116
5,0,23,67,12,31,0,0,3,117
6,1,2,76,57,10,0,1,4,118
7,1,18,51,21,71,0,0,3,119
1,0,13,26,22,71,0,0,2,120
2,0,8,25,90,19,0,0,1,121
3,0,1,12,64,97,0,0,1,122
4,0,10,21,47,90,0,0,1,123
5,0,12,48,68,35,0,0,2,124
6,1,3,14,35,23,0,0,1,125
7,1,21,61,15,14,0,0,3,126
1,0,13,23,74,30,0,0,1,127
2,0,9,65,8,98,0,0,3,128
3,0,0,81,26,92,0,1,4,129
4,0,15,72,21,49,0,0,3,130
5,0,21,50,42,78,0,0,3,131
6,1,9,34,48,83,0,0,2,132
7,1,12,10,52,35,0,0,1,133
1,0,3,70,44,96,0,0,3,134
2,0,15,61,57,20,0,0,3,135
3,0,19,54,19,26,0,0,3,136
4,0,20,34,21,61,0,0,2,137
5,0,16,23,21,92,0,0,1,138
6,1,14,57,51,62,0,0,3,139
7,1,2,16,86,74,0,0,1,140
1,0,6,6,52,77,0,0,1,141
2,0,19,18,84,18,0,0,1,142
3,0,17,16,86,19,0,0,1,143
4,0,14,57,2,90,0,0,3,144
5,0,17,38,16,7,0,0,2,145
6,1,10,63,9,96,0,0,3,146
7,1,22,29,54,95,0,0,2,147
1,0,9,43,8,37,0,0,2,148
2,0,19,27,35,24,0,0,2,149
3,0,0,49,83,13,0,0,2,150
4,0,15,83,48,11,0,1,4,151
5,0,4,2,92,88,0,0,1,152
6,1,18,90,14,8,1,1,4,153
7,1,5,41,40,62,0,0,2,154
1,0,18,4,44,15,0,0,1,155
2,0,2,64,20,74,0,0,3,156
3,0,22,23,65,27,0,0,1,157
4,0,4,51,39,14,0,0,3,158
5,0,17,16,42,67,0,0,1,159
6,1,6,9,73,72,0,0,1,160
7,1,4,50,83,37,0,0,3,161
1,0,16,86,40,52,1,1,4,162
2,0,2,12,22,67,0,0,1,163
3,0,19,20,82,91,0,0,1,164
4,0,5,0,28,16,0,0,1,165
5,0,21,82,24,24,0,1,4,166
6,1,10,99,28,56,1,1,4,167
7,1,21,19,58,4,0,0,1,168
1,0,0,54,26,24,0,0,3,169
2,0,17,84,80,33,0,1,4,170
3,0,15,57,56,70,0,0,3,171
4,0,9,54,94,39,0,0,3,172
5,0,7,46,64,74,0,0,2,173
6,1,8,42,37,90,0,0,2,174
7,1,22,60,31,93,0,0,3,175
1,0,20,1,53,39,0,0,1,176
2,0,1,9,85,24,0,0,1,177
3,0,15,12,75,1,0,0,1,178
4,0,13,85,39,63,1,1,4,179
5,0,15,67,78,87,0,0,3,180
6,1,0,88,87,27,1,1,4,181
7,1,20,86,84,87,1,1,4,182
1,0,11,44,29,94,0,0,2,183
2,0,18,78,27,62,0,1,4,184
3,0,13,19,97,53,0,0,1,185
4,0,18,58,31,24,0,0,3,186
5,0,14,36,18,83,0,0,2,187
6,1,2,72,14,47,0,0,3,188
7,1,21,2,36,61,0,0,1,189
1,0,13,76,83,19,0,1,4,190
2,0,18,44,53,53,0,0,2,191
3,0,14,96,41,94,1,1,4,192
4,0,18,98,29,24,1,1,4,193
5,0,15,53,32,37,0,0,3,194
6,1,12,66,49,60,0,0,3,195
7,1,0,5,9,99,0,0,1,196
1,0,2,8,71,76,0,0,1,197
2,0,16,84,50,58,0,1,4,198
3,0,10,44,95,99,0,0,2,199
4,0,0,50,12,58,0,0,3,200
5,0,4,40,49,75,0,0,2,201
6,1,18,93,86,14,1,1,4,202
7,1,5,27,8,68,0,0,2,203
1,0,16,67,95,71,0,0,3,204
2,0,6,57,45,59,0,0,3,205
3,0,14,18,45,74,0,0,1,206
4,0,10,80,8,46,0,1,4,207
5,0,5,52,55,96,0,0,3,208
6,1,4,87,89,1,1,1,4,209
7,1,1,81,49,64,0,1,4,210
1,0,1,21,51,34,0,0,1,211
2,0,1,26,23,32,0,0,2,212
3,0,18,31,61,68,0,0,2,213
4,0,18,56,10,64,0,0,3,214
5,0,1,85,38,30,1,1,4,215
6,1,14,74,69,56,0,0,3,216
7,1,15,72,17,18,0,0,3,217
1,0,11,57,51,62,0,0,3,218
2,0,13,67,100,15,0,0,3,219
3,0,9,38,12,7,0,0,2,220
4,0,21,84,66,58,0,1,4,221
5,0,20,38,69,73,0,0,2,222
6,1,19,98,14,75,1,1,4,223
7,1,0,5,77,55,0,0,1,224
1,0,12,5,26,78,0,0,1,225
2,0,6,30,88,33,0,0,2,226
3,0,3,54,60,40,0,0,3,227
4,0,1,17,79,79,0,0,1,228
5,0,5,24,98,56,0,0,1,229
6,1,10,80,10,49,0,1,4,230
7,1,12,15,49,80,0,0,1,231
1,0,0,16,56,48,0,0,1,232
2,0,10,97,47,86,1,1,4,233
3,0,1,64,57,76,0,0,3,234
4,0,0,10,16,71,0,0,1,235
5,0,16,82,17,79,0,1,4,236
6,1,5,10,89,10,0,0,1,237
7,1,1,97,9,39,1,1,4,238
1,0,1,18,56,28,0,0,1,239
2,0,14,23,66,97,0,0,1,240
3,0,2,56,87,8,0,0,3,241
4,0,2,45,61,48,0,0,2,242
5,0,22,53,58,69,0,0,3,243
6,1,13,26,82,39,0,0,2,244
7,1,5,28,92,29,0,0,2,245
1,0,14,18,85,27,0,0,1,246
2,0,4,61,63,98,0,0,3,247
3,0,7,78,36,79,0,1,4,248
4,0,13,77,27,91,0,1,4,249
5,0,0,91,32,52,1,1,4,250
6,1,20,35,88,92,0,0,2,251
7,1,7,100,0,4,1,1,4,252
1,0,6,50,29,13,0,0,3,253
2,0,13,6,31,49,0,0,1,254
3,0,15,19,87,63,0,0,1,255
4,0,21,13,8,20,0,0,1,256
5,0,16,14,69,68,0,0,1,257
6,1,11,62,22,98,0,0,3,258
7,1,13,55,37,62,0,0,3,259
1,0,7,28,96,66,0,0,2,260
2,0,4,81,84,87,0,1,4,261
3,0,13,44,63,10,0,0,2,262
4,0,8,85,87,49,1,1,4,263
5,0,7,50,61,46,0,0,3,264
6,1,11,53,76,55,0,0,3,265
7,1,22,87,25,4,1,1,4,266
1,0,6,1,41,87,0,0,1,267
2,0,7,100,23,100,1,1,4,268
3,0,14,24,14,87,0,0,1,269
4,0,10,55,34,62,0,0,3,270
5,0,6,25,17,4,0,0,1,271
6,1,0,76,56,90,0,1,4,272
7,1,21,90,56,88,1,1,4,273
1,0,3,68,10,68,0,0,3,274
2,0,4,32,84,49,0,0,2,275
3,0,22,57,16,33,0,0,3,276
4,0,2,5,13,8,0,0,1,277
5,0,8,93,12,37,1,1,4,278
6,1,22,54,75,69,0,0,3,279
7,1,13,82,2,88,0,1,4,280
1,0,14,23,36,66,0,0,1,281
2,0,4,96,17,62,1,1,4,282
3,0,18,26,34,19,0,0,2,283
4,0,4,98,63,57,1,1,4,284
5,0,19,21,32,84,0,0,1,285
6,1,6,11,27,35,0,0,1,286
7,1,15,92,53,5,1,1,4,287
1,0,12,49,31,60,0,0,2,288
2,0,13,29,51,85,0,0,2,289
3,0,1,68,80,85,0,0,3,290
4,0,17,24,35,54,0,0,1,291
5,0,10,71,10,26,0,0,3,292
6,1,0,21,86,88,0,0,1,293
7,1,20,45,72,74,0,0,2,294
1,0,19,69,5,33,0,0,3,295
2,0,9,86,35,75,1,1,4,296
3,0,6,4,28,31,0,0,1,297
4,0,2,39,54,49,0,0,2,298
5,0,8,31,90,33,0,0,2,299
6,1,13,63,84,9,0,0,3,300
7,1,9,14,55,5,0,0,1,301
1,0,0,1,24,50,0,0,1,302
2,0,4,78,37,8,0,1,4,303
3,0,1,56,61,58,0,0,3,304
4,0,4,90,68,41,1,1,4,305
5,0,21,33,33,77,0,0,2,306
6,1,2,75,0,21,0,0,3,307
7,1,15,23,33,38,0,0,1,308
1,0,1,24,38,16,0,0,1,309
2,0,12,19,56,20,0,0,1,310
3,0,6,97,25,97,1,1,4,311
4,0,18,69,66,86,0,0,3,312
5,0,20,50,33,80,0,0,3,313
6,1,2,79,45,79,0,1,4,314
7,1,22,1,32,73,0,0,1,315
1,0,8,52,4,11,0,0,3,316
2,0,16,74,8,74,0,0,3,317
3,0,7,85,35,100,1,1,4,318
4,0,4,57,1,48,0,0,3,319
5,0,14,83,54,56,0,1,4,320
6,1,17,88,97,53,1,1,4,321
7,1,2,57,16,1,0,0,3,322
1,0,7,20,25,48,0,0,1,323
2,0,8,89,36,61,1,1,4,324
3,0,6,84,89,19,0,1,4,325
4,0,6,19,30,100,0,0,1,326
5,0,23,49,54,74,0,0,2,327
6,1,22,1,34,78,0,0,1,328
7,1,21,81,43,55,0,1,4,329
1,0,16,33,47,83,0,0,2,330
2,0,0,84,82,29,0,1,4,331
3,0,14,53,83,44,0,0,3,332
4,0,10,100,66,42,1,1,4,333
5,0,23,24,90,12,0,0,1,334
6,1,16,81,91,44,0,1,4,335
7,1,4,16,22,81,0,0,1,336
1,0,2,89,8,90,1,1,4,337
2,0,22,69,40,81,0,0,3,338
3,0,20,45,48,11,0,0,2,339
4,0,12,65,24,16,0,0,3,340
5,0,16,47,58,8,0,0,2,341
6,1,11,2,72,44,0,0,1,342
7,1,20,19,7,83,0,0,1,343
1,0,23,20,21,55,0,0,1,344
2,0,7,7,100,13,0,0,1,345
3,0,18,71,45,23,0,0,3,346
4,0,18,47,73,75,0,0,2,347
5,0,5,31,97,46,0,0,2,348
6,1,7,78,15,78,0,1,4,349
7,1,7,56,86,52,0,0,3,350
1,0,12,60,54,49,0,0,3,351
2,0,21,81,56,57,0,1,4,352
3,0,17,32,76,36,0,0,2,353
4,0,23,57,4,51,0,0,3,354
5,0,0,94,2,77,1,1,4,355
6,1,20,95,65,22,1,1,4,356
7,1,10,33,42,67,0,0,2,357
1,0,11,20,32,58,0,0,1,358
2,0,9,75,36,100,0,0,3,359
3,0,12,22,89,32,0,0,1,360
4,0,7,3,60,48,0,0,1,361
5,0,16,37,39,78,0,0,2,362
6,1,22,30,82,37,0,0,2,363
7,1,3,96,70,40,1,1,4,364
1,0,13,29,64,99,0,0,2,365
2,0,7,45,87,82,0,0,2,1
3,0,15,93,90,31,1,1,4,2
4,0,2,53,42,99,0,0,3,3
5,0,20,12,25,56,0,0,1,4
6,1,6,9,52,34,0,0,1,5
7,1,10,92,71,71,1,1,4,6
1,0,19,33,15,2,0,0,2,7
2,0,3,55,96,61,0,0,3,8
3,0,15,38,87,53,0,0,2,9
4,0,9,94,53,91,1,1,4,10
5,0,7,13,57,94,0,0,1,11
6,1,9,56,59,23,0,0,3,12
7,1,11,42,15,95,0,0,2,13
1,0,15,6,97,15,0,0,1,14
2,0,6,32,97,72,0,0,2,15
3,0,9,20,49,34,0,0,1,16
4,0,20,22,83,48,0,0,1,17
5,0,2,72,3,98,0,0,3,18
6,1,11,39,38,68,0,0,2,19
7,1,15,26,85,5,0,0,2,20
1,0,0,18,65,59,0,0,1,21
2,0,18,2,67,52,0,0,1,22
3,0,8,24,26,75,0,0,1,23
4,0,14,29,60,5,0,0,2,24
5,0,21,75,93,90,0,0,3,25
6,1,3,8,31,82,0,0,1,26
7,1,8,80,48,54,0,1,4,27
1,0,13,8,83,35,0,0,1,28
2,0,17,16,19,84,0,0,1,29
3,0,20,48,49,85,0,0,2,30
4,0,5,40,41,74,0,0,2,31
5,0,11,13,50,58,0,0,1,32
6,1,12,35,94,22,0,0,2,33
7,1,9,52,65,63,0,0,3,34
1,0,15,67,24,45,0,0,3,35
2,0,21,7,75,93,0,0,1,36
3,0,9,46,73,88,0,0,2,37
4,0,1,0,39,40,0,0,1,38
5,0,2,24,36,100,0,0,1,39
6,1,18,8,56,87,0,0,1,40
7,1,21,80,47,78,0,1,4,41
1,0,15,58,29,67,0,0,3,42
2,0,22,90,45,78,1,1,4,43
3,0,5,78,47,88,0,1,4,44
4,0,1,55,0,55,0,0,3,45
5,0,0,79,72,73,0,1,4,46
6,1,23,18,79,68,0,0,1,47
7,1,16,45,9,93,0,0,2,48
1,0,9,51,35,23,0,0,3,49
2,0,12,52,60,45,0,0,3,50
3,0,11,53,19,83,0,0,3,51
4,0,0,81,34,31,0,1,4,52
5,0,1,92,7,80,1,1,4,53
6,1,12,79,79,79,0,1,4,54
7,1,19,24,71,87,0,0,1,55
1,0,12,70,35,83,0,0,3,56
2,0,3,38,60,69,0,0,2,57
3,0,20,17,41,75,0,0,1,58
4,0,16,88,84,23,1,1,4,59
5,0,12,86,57,70,1,1,4,60
6,1,9,38,49,82,0,0,2,61
7,1,9,9,89,48,0,0,1,62
1,0,14,34,1,76,0,0,2,63
2,0,21,39,28,66,0,0,2,64
3,0,15,17,18,71,0,0,1,65
4,0,13,26,55,73,0,0,2,66
5,0,22,46,92,59,0,0,2,67
6,1,5,14,55,64,0,0,1,68
7,1,13,73,73,53,0,0,3,69
1,0,1,19,54,16,0,0,1,70
2,0,2,38,95,86,0,0,2,71
3,0,21,40,80,100,0,0,2,72
4,0,16,75,18,51,0,0,3,73
5,0,17,30,78,2,0,0,2,74
6,1,4,2,94,21,0,0,1,75
7,1,15,87,25,51,1,1,4,76
1,0,12,56,81,14,0,0,3,77
2,0,6,94,27,65,1,1,4,78
3,0,1,2,18,53,0,0,1,79
4,0,17,64,97,56,0,0,3,80
5,0,23,84,98,58,0,1,4,81
6,1,20,6,26,18,0,0,1,82
7,1,14,42,78,82,0,0,2,83
1,0,23,26,98,42,0,0,2,84
2,0,20,63,37,5,0,0,3,85
3,0,21,41,5,92,0,0,2,86
4,0,23,29,78,36,0,0,2,87
5,0,19,20,20,80,0,0,1,88
6,1,16,36,77,92,0,0,2,89
7,1,22,49,16,39,0,0,2,90
1,0,0,85,4,32,1,1,4,91
2,0,8,87,27,55,1,1,4,92
3,0,9,60,94,6,0,0,3,93
4,0,3,52,54,25,0,0,3,94
5,0,12,59,66,13,0,0,3,95
6,1,6,22,90,33,0,0,1,96
7,1,23,85,14,22,1,1,4,97
1,0,15,50,25,47,0,0,3,98
2,0,15,62,83,2,0,0,3,99
3,0,1,33,96,0,0,0,2,100
4,0,10,16,5,4,0,0,1,101
5,0,7,0,86,100,0,0,1,102
6,1,6,48,27,50,0,0,2,103
7,1,2,36,53,2,0,0,2,104
1,0,3,11,65,5,0,0,1,105
2,0,6,68,51,80,0,0,3,106
3,0,11,79,45,22,0,1,4,107
4,0,6,4,12,7,0,0,1,108
5,0,17,95,88,3,1,1,4,109
6,1,13,13,64,83,0,0,1,110
7,1,2,60,35,81,0,0,3,111
1,0,0,4,84,17,0,0,1,112
2,0,10,73,53,41,0,0,3,113
3,0,23,87,6,11,1,1,4,114
4,0,6,36,46,12,0,0,2,115
5,0,15,65,41,43,0,0,3,116
6,1,22,13,88,0,0,0,1,117
7,1,23,5,58,36,0,0,1,118
1,0,17,27,70,12,0,0,2,119
2,0,13,9,61,0,0,0,1,120
3,0,8,76,18,88,0,1,4,121
4,0,18,49,67,62,0,0,2,122
5,0,6,72,10,82,0,0,3,123
6,1,19,38,46,19,0,0,2,124
7,1,19,8,81,96,0,0,1,125
1,0,18,35,98,28,0,0,2,126
2,0,3,63,20,67,0,0,3,127
3,0,9,64,42,87,0,0,3,128
4,0,1,65,80,24,0,0,3,129
5,0,17,18,69,11,0,0,1,130
6,1,1,88,83,51,1,1,4,131
7,1,17,32,31,72,0,0,2,132
1,0,19,89,18,18,1,1,4,133
2,0,15,12,67,46,0,0,1,134
3,0,10,70,12,10,0,0,3,135
4,0,21,61,35,25,0,0,3,136
5,0,6,42,14,53,0,0,2,137
6,1,10,41,37,88,0,0,2,138
7,1,6,97,16,54,1,1,4,139
1,0,12,30,26,34,0,0,2,140
2,0,0,20,74,23,0,0,1,141
3,0,5,75,49,59,0,0,3,142
4,0,10,86,8,56,1,1,4,143
5,0,16,15,31,77,0,0,1,144
6,1,15,10,32,92,0,0,1,145
7,1,7,41,41,27,0,0,2,146
1,0,8,53,84,52,0,0,3,147
2,0,11,67,43,42,0,0,3,148
3,0,14,58,51,74,0,0,3,149
4,0,13,18,8,21,0,0,1,150
5,0,4,30,64,75,0,0,2,151
6,1,9,12,69,66,0,0,1,152
7,1,8,30,48,54,0,0,2,153
1,0,21,89,4,96,1,1,4,154
2,0,7,36,95,96,0,0,2,155
3,0,1,42,64,98,0,0,2,156
4,0,20,98,42,89,1,1,4,157
5,0,9,2,68,23,0,0,1,158
6,1,23,64,85,41,0,0,3,159
7,1,1,78,77,73,0,1,4,160
1,0,16,56,20,92,0,0,3,161
2,0,2,21,58,38,0,0,1,162
3,0,15,51,37,20,0,0,3,163
4,0,23,93,98,87,1,1,4,164
5,0,14,81,8,71,0,1,4,165
6,1,14,32,39,44,0,0,2,166
7,1,22,49,16,53,0,0,2,167
1,0,22,50,81,25,0,0,3,168
2,0,2,90,21,69,1,1,4,169
3,0,11,93,77,7,1,1,4,170
4,0,20,66,47,4,0,0,3,171
5,0,9,90,12,74,1,1,4,172
6,1,16,81,75,83,0,1,4,173
7,1,3,30,48,37,0,0,2,174
1,0,17,35,13,29,0,0,2,175
2,0,12,26,50,58,0,0,2,176
3,0,3,7,2,90,0,0,1,177
4,0,5,20,54,58,0,0,1,178
5,0,15,74,22,30,0,0,3,179
6,1,23,80,87,89,0,1,4,180
7,1,11,81,19,81,0,1,4,181
1,0,9,52,81,31,0,0,3,182
2,0,15,86,75,12,1,1,4,183
3,0,21,11,65,66,0,0,1,184
4,0,2,9,23,54,0,0,1,185
5,0,17,14,43,24,0,0,1,186
6,1,20,54,17,61,0,0,3,187
7,1,4,4,53,61,0,0,1,188
1,0,1,56,43,22,0,0,3,189
2,0,16,92,91,85,1,1,4,190
3,0,18,19,5,24,0,0,1,191
4,0,13,99,23,35,1,1,4,192
5,0,19,77,49,90,0,1,4,193
6,1,20,5,2,79,0,0,1,194
7,1,6,31,72,50,0,0,2,195
1,0,11,29,5,87,0,0,2,196
2,0,20,54,24,55,0,0,3,197
3,0,1,31,24,60,0,0,2,198
4,0,18,100,7,6,1,1,4,199
5,0,22,19,89,82,0,0,1,200
6,1,23,52,15,74,0,0,3,201
7,1,5,39,74,62,0,0,2,202
1,0,22,19,87,31,0,0,1,203
2,0,2,13,84,23,0,0,1,204
3,0,14,29,93,83,0,0,2,205
4,0,9,75,28,23,0,0,3,206
5,0,13,18,39,48,0,0,1,207
6,1,7,30,93,49,0,0,2,208
7,1,1,61,43,52,0,0,3,209
1,0,10,9,87,87,0,0,1,210
2,0,1,92,59,38,1,1,4,211
3,0,18,27,50,84,0,0,2,212
4,0,20,62,46,0,0,0,3,213
5,0,23,85,41,56,1,1,4,214
6,1,7,25,60,96,0,0,1,215
7,1,16,9,1,100,0,0,1,216
1,0,17,14,48,74,0,0,1,217
2,0,13,8,66,8,0,0,1,218
3,0,17,96,98,78,1,1,4,219
4,0,6,89,65,82,1,1,4,220
5,0,3,8,87,73,0,0,1,221
6,1,6,7,41,22,0,0,1,222
7,1,9,12,24,19,0,0,1,223
1,0,23,27,66,37,0,0,2,224
2,0,21,82,59,81,0,1,4,225
3,0,9,76,60,93,0,1,4,226
4,0,23,19,44,47,0,0,1,227
5,0,16,66,32,85,0,0,3,228
6,1,20,13,99,69,0,0,1,229
7,1,5,88,23,86,1,1,4,230
1,0,6,5,0,81,0,0,1,231
2,0,18,78,100,11,0,1,4,232
3,0,18,32,34,51,0,0,2,233
4,0,11,52,69,17,0,0,3,234
5,0,9,86,21,65,1,1,4,235
6,1,11,0,46,66,0,0,1,236
7,1,16,75,63,28,0,0,3,237
1,0,10,12,83,0,0,0,1,238
2,0,0,96,57,41,1,1,4,239
3,0,1,69,48,60,0,0,3,240
4,0,10,87,92,12,1,1,4,241
5,0,8,34,34,53,0,0,2,242
6,1,0,60,75,43,0,0,3,243
7,1,11,44,94,55,0,0,2,244
1,0,7,60,44,89,0,0,3,245
2,0,12,6,13,39,0,0,1,246
3,0,13,35,69,59,0,0,2,247
4,0,17,50,67,86,0,0,3,248
5,0,20,90,24,90,1,1,4,249
6,1,16,96,25,62,1,1,4,250
7,1,1,41,9,65,0,0,2,251
1,0,8,65,34,34,0,0,3,252
2,0,23,15,36,31,0,0,1,253
3,0,14,22,65,64,0,0,1,254
4,0,5,31,50,40,0,0,2,255
5,0,23,59,90,30,0,0,3,256
6,1,5,16,29,8,0,0,1,257
7,1,6,36,3,47,0,0,2,258
1,0,19,13,28,83,0,0,1,259
2,0,18,14,12,35,0,0,1,260
3,0,10,48,44,80,0,0,2,261
4,0,23,34,42,47,0,0,2,262
5,0,17,17,41,68,0,0,1,263
6,1,2,42,8,78,0,0,2,264
7,1,12,6,54,71,0,0,1,265
1,0,4,60,84,78,0,0,3,266
2,0,9,66,23,2,0,0,3,267
3,0,17,32,3,11,0,0,2,268
4,0,15,1,34,35,0,0,1,269
5,0,19,100,93,83,1,1,4,270
6,1,5,88,98,68,1,1,4,271
7,1,17,54,35,19,0,0,3,272
1,0,14,65,56,89,0,0,3,273
2,0,21,19,52,8,0,0,1,274
3,0,16,15,9,81,0,0,1,275
4,0,14,61,10,83,0,0,3,276
5,0,7,38,39,7,0,0,2,277
6,1,14,46,44,38,0,0,2,278
7,1,5,95,90,56,1,1,4,279
1,0,12,46,57,55,0,0,2,280
2,0,22,64,88,23,0,0,3,281
3,0,1,13,4,67,0,0,1,282
4,0,12,8,22,79,0,0,1,283
5,0,16,78,65,89,0,1,4,284
6,1,10,88,3,20,1,1,4,285
7,1,19,36,18,58,0,0,2,286
1,0,4,56,99,46,0,0,3,287
2,0,0,94,7,90,1,1,4,288
3,0,23,41,88,12,0,0,2,289
4,0,10,95,42,10,1,1,4,290
5,0,17,86,39,64,1,1,4,291
6,1,14,43,66,72,0,0,2,292
7,1,5,24,18,38,0,0,1,293
1,0,22,21,80,37,0,0,1,294
2,0,8,20,53,79,0,0,1,295
3,0,17,67,8,54,0,0,3,296
4,0,16,70,77,73,0,0,3,297
5,0,16,61,73,82,0,0,3,298
6,1,2,86,20,12,1,1,4,299
7,1,16,18,30,25,0,0,1,300
1,0,8,53,62,17,0,0,3,301
2,0,1,28,80,24,0,0,2,302
3,0,11,55,42,25,0,0,3,303
4,0,2,60,63,15,0,0,3,304
5,0,3,66,97,33,0,0,3,305
6,1,9,74,57,32,0,0,3,306
7,1,15,27,7,88,0,0,2,307
1,0,2,32,77,81,0,0,2,308
2,0,0,99,57,74,1,1,4,309
3,0,4,83,9,70,0,1,4,310
4,0,8,63,78,19,0,0,3,311
5,0,22,31,60,94,0,0,2,312
6,1,7,83,10,15,0,1,4,313
7,1,3,84,74,1,0,1,4,314
1,0,10,45,41,63,0,0,2,315
2,0,23,39,74,90,0,0,2,316
3,0,21,57,87,81,0,0,3,317
4,0,7,91,23,7,1,1,4,318
5,0,4,7,4,48,0,0,1,319
6,1,17,55,61,37,0,0,3,320
7,1,9,69,64,44,0,0,3,321
1,0,1,8,68,32,0,0,1,322
2,0,7,50,54,95,0,0,3,323
3,0,20,79,47,67,0,1,4,324
4,0,22,10,0,41,0,0,1,325
5,0,9,50,78,11,0,0,3,326
6,1,14,9,4,43,0,0,1,327
7,1,21,48,41,98,0,0,2,328
1,0,10,72,2,100,0,0,3,329
2,0,12,73,29,91,0,0,3,330
